source	strongs	gloss	esv_da	niv_da	nlt_da	decision	status	scope
κύριος (GT-citat)	G2962	LORD rendering YHWH	\nd HERREN\nd*	\nd HERREN\nd*	\nd HERREN\nd*	0033	settled	standard
χριστός	G5547	Christ, Messiah	Kristus	Kristus (Messias hvor jødisk ramme)	Messias	0027	settled	konkordant:esv
ὁ υἱὸς τοῦ ἀνθρώπου	G5207+G444	the Son of Man	Menneskesønnen	Menneskesønnen	Menneskesønnen	0036	settled	standard
υἱὸς τοῦ θεοῦ	G5207+G2316	Son of God	Guds Søn	Guds søn	Guds søn	—	settled	standard
ὕψιστος	G5310	the Most High	den Højeste	den Højeste	den Højeste	0132	settled	standard
πνεῦμα ἅγιον	G4151+G40	Holy Spirit	Helligånden	Helligånden	Helligånden	—	settled	standard
διάβολος	G1228	devil	Djævelen	Djævelen	Djævelen	—	settled	standard
σατανᾶς	G4567	Satan	Satan	Satan	Satan	—	settled	standard
δαιμόνιον	G1140	demon	dæmon	dæmon	ond ånd	—	settled	standard
πνεῦμα ἀκάθαρτον	G4151+G169	unclean spirit	uren ånd	uren ånd	ond ånd	—	settled	standard
ἄγγελος	G32	angel; messenger	engel (budbringer om mennesker)	engel / budbringer	engel / budbringer	—	settled	standard
μακάριος	G3107	blessed	Salig er…	Salige er…	Gud velsigner…	0040	settled	standard
οὐαί	G3759	woe	Ve jer	Ve jer	Hvor vil I komme til at sørge	0040	settled	standard
βασιλεία τοῦ θεοῦ	G932+G2316	kingdom of God	Guds rige	Guds rige	Guds rige	—	settled	standard
μετάνοια	G3341	repentance	omvendelse	omvendelse	vende om	—	settled	standard
μετανοέω	G3340	repent	omvende sig	omvende sig	vende om	—	settled	standard
εὐαγγελίζομαι	G2097	proclaim good news	forkynde evangeliet	forkynde det gode budskab	fortælle den gode nyhed	—	settled	standard
εὐαγγέλιον	G2098	gospel	evangeliet	det gode budskab	den gode nyhed	—	settled	standard
παραβολή	G3850	parable	lignelse	lignelse	historie	—	settled	standard
σπλάγχνα	G4698	bowels; deep compassion	inderlig barmhjertighed	dyb barmhjertighed	fuld af inderlig barmhjertighed	—	settled	standard
σπλαγχνίζομαι	G4697	have compassion	ynkes inderligt	få inderligt ondt af	få ondt af	—	settled	standard
ἔλεος	G1656	mercy	barmhjertighed	barmhjertighed	barmhjertighed	—	settled	standard
οἰκτίρμων	G3629	merciful	barmhjertig	barmhjertig	barmhjertig	—	settled	standard
πτωχός	G4434	poor	fattig	fattig	fattig	—	settled	standard
δοῦλος	G1401	slave, servant	tjener (slave hvor ejerskab er pointen)	tjener	tjener	0043	settled	standard
παῖς	G3816	boy; servant	dreng	tjener	tjener	0043	settled	standard
ἐπιστάτης	G1988	master (Lukan vocative)	Mester	Mester	Mester	0037	settled	standard
διδάσκαλος	G1320	teacher	Lærer (Mester hvor ingen kollision)	Mester	Mester	0037	settled	standard
μαθητής	G3101	disciple	discipel	discipel	discipel	—	settled	standard
ἀπόστολος	G652	apostle	apostel	apostel	apostel	—	settled	standard
προφήτης	G4396	prophet	profet	profet	profet	—	settled	standard
γραμματεύς	G1122	scribe	skriftklog	skriftklog	skriftklog	—	settled	standard
Φαρισαῖος	G5330	Pharisee	farisæer	farisæer	farisæer	—	settled	standard
νομικός	G3544	lawyer, expert in the law	lovkyndig	lovkyndig	lovkyndig	—	settled	standard
τελώνης	G5057	tax collector	tolder	tolder	skatteopkræver	—	settled	standard
ἱερεύς	G2409	priest	præst	præst	præst	—	settled	standard
ἀρχιερεύς	G749	high priest	ypperstepræst	ypperstepræst	ypperstepræst	—	settled	standard
συναγωγή	G4864	synagogue	synagoge	synagoge	synagoge	—	settled	standard
ἱερόν / ναός	G2411 / G3485	temple	templet	templet	templet	—	settled	standard
σάββατον	G4521	sabbath	sabbat	sabbat	sabbat	—	settled	standard
λέπρα	G3014	leprosy	spedalskhed	spedalskhed	spedalskhed	—	settled	standard
σωτήρ	G4990	saviour	frelser	frelser	frelser	—	settled	standard
σῴζω	G4982	save, heal	frelse	frelse / redde	frelse / redde	—	settled	standard
σωτηρία	G4991	salvation	frelse	frelse	frelse	—	settled	standard
ὑποκριτής	G5273	hypocrite	hykler	hykler	hykler	—	settled	standard
σκανδαλίζομαι	G4624	stumble, take offence	forarges	tage anstød	miste troen	—	settled	standard
ὄχλος	G3793	crowd	skare	folkeskare	menneskemængde	—	settled	standard
ῥῆμα	G4487	word; thing, matter	ord	ord	ord	—	settled	standard
λόγος	G3056	word	ord	ord	ord	—	settled	standard
κατάλυμα	G2646	guest room	gæsterummet	gæsterummet	gæsteværelset	0023	settled	standard
πανδοχεῖον	G3829	inn	herberg	herberg	kro	0023	settled	standard
δηνάριον	G1220	denarius (a day's wage)	denar	denar	dagløn (omregnet)	0046	settled	standard
τετραάρχης	G5076	tetrarch	landsfyrste	landsfyrste	regerede over	0031	settled	standard
ἀνατολή	G395	sunrise; Branch (LXX messianic)	solopgangen fra det høje	solopgangen fra det høje	lyset, der bryder frem	0022	settled	standard
κέρας σωτηρίας	G2768+G4991	horn of salvation	frelsens horn	en mægtig frelser	en stærk frelser	—	settled	standard
ἐπισκέπτομαι	G1980	visit, look upon in mercy	besøge	besøge	komme for at hjælpe	—	settled	standard
λεγιών	G3003	legion	Legion	Legion	Legion	—	settled	standard
ἄβυσσος	G12	abyss	afgrunden	afgrunden	afgrunden	—	settled	standard
κράσπεδον	G2899	tassel (tzitzit)	kvasten på kappen	kvasten på kappen	kvasten på kappen	0050	settled	standard
ἀρχισυνάγωγος	G752	synagogue ruler	synagogeforstander	synagogeforstander	forstander for synagogen	—	settled	standard
μυστήριον	G3466	mystery, secret	hemmelighed	hemmelighed	hemmelighed	—	settled	standard
σπόρος	G4703	seed	sæd	korn	korn	—	settled	standard
σπείρων	G4687	sower	sædemand	sædemand	landmand, der såede	—	settled	standard
λύχνος	G3088	lamp	lampe	lampe	lampe	—	settled	standard
λυχνία	G3087	lampstand	lysestage	stage	sted, hvor den står frit	—	settled	standard
λαῖλαψ	G2978	squall, whirlwind	hvirvelstorm	stormbyge	voldsom storm	—	settled	standard
ῥύσις αἵματος	G4511+G129	flow of blood	blødninger	blødninger	blødninger	—	settled	standard
δαιμονίζομαι	G1139	be demon-possessed	besat	besat	besat	—	settled	standard
ἔξοδος	G1841	exodus, departure	bortgang	bortgang	forlade verden	0053	settled	standard
ἀνάλημψις	G354	taking up (ascension)	at han skulle tages op	tages op til himlen	tages op til himlen	0053	settled	standard
ἐκλελεγμένος	G1586	chosen one	den udvalgte	den udvalgte	ham jeg har udvalgt	0051	settled	standard
σκηνή	G4633	tent, booth	hytte	hytte	hytte	—	settled	standard
ἄροτρον	G723	plough	plov	plov	plov	—	settled	standard
ἀλώπηξ	G258	fox	ræv	ræv	ræv	—	settled	standard
κόφινος	G2894	basket	kurv	kurv	kurv	—	settled	konkordant
μεγαλειότης	G3168	majesty, greatness	storhed	storhed	hvor stor Gud er	—	settled	standard
σταυρός	G4716	cross	kors	kors	kors	—	settled	standard
ἀρνέομαι ἑαυτόν	G720	deny oneself	fornægte sig selv	sige nej til sig selv	holde op med at sætte sig selv først	—	settled	standard
ᾅδης	G86	Hades, realm of the dead	dødsriget	dødsriget	dødsriget	0057	settled	konkordant
γέεννα	G1067	Gehenna, hell	Helvede	Helvede	Helvede	0057	settled	konkordant
πλησίον	G4139	neighbour	næste	næste	næste	—	settled	standard
ζωὴ αἰώνιος	G2222+G166	eternal life	evigt liv	det evige liv	det evige liv	—	settled	standard
λῃστής	G3027	robber, bandit	røver	røver	røver	—	settled	standard
Λευίτης	G3019	Levite	levit	levit	tempeltjener	—	settled	standard
θερισμός	G2326	harvest	høst	høst	høst	—	settled	standard
σκορπίος	G4651	scorpion	skorpion	skorpion	skorpion	—	settled	standard
ἐπιούσιος	G1967	daily / for the coming day	daglige	det brød, vi har brug for	den mad, vi har brug for	0060	settled	standard
Βεελζεβούλ	G954	Beelzebul	Beelzebul	Beelzebul	Beelzebul	0061	settled	standard
ἀναίδεια	G335	shamelessness, persistence	påtrængenhed	fordi han bliver ved	fordi I bliver ved	—	settled	standard
ἀποδεκατόω	G586	tithe	give tiende	give tiende	betale tiende	—	settled	standard
ἐλεημοσύνη	G1654	alms	almisse	give til de fattige	give til de fattige	—	settled	standard
πρωτοκαθεδρία	G4410	best seat	fornemste plads	bedste plads	fineste plads	—	settled	standard
κρίσις	G2920	judgement; justice	dom / ret	dom / retfærdighed	dom / retfærdighed	—	settled	standard
ἀσσάριον	G787	assarion (small copper coin)	skilling	skilling	nogle få mønter	0062	settled	standard
λεπτόν	G3016	lepton (smallest coin)	skærv	øre	krone	0062	settled	konkordant:esv
ζύμη	G2219	leaven, yeast	surdej	surdej	surdej	—	settled	standard
ὑπόκρισις	G5272	hypocrisy	hykleri	hykleri	hykleri	—	settled	standard
πλεονεξία	G4124	greed	griskhed	grådighed	grådighed	—	settled	standard
θησαυρός	G2344	treasure	skat	skat	formue	—	settled	standard
οἰκονόμος	G3623	steward, manager	husholder	forvalter	forvalter	—	settled	standard
ὀλιγόπιστος	G3640	of little faith	lidettroende	småtroende	små i troen	—	settled	standard
ποίμνιον	G4168	flock	hjord	flok	flok	—	settled	standard
κόραξ	G2876	raven	ravn	ravn	ravn	—	settled	standard
κρίνον	G2918	lily	lilje	lilje	markens blomster	—	settled	standard
διαμερισμός	G1267	division	splittelse	splittelse	splittelse	—	settled	standard
σάτον	G4568	saton (dry measure, ~13 l)	mål	mål	liter (omregnet)	0065	settled	standard
συκῆ	G4808	fig tree	figentræ	figentræ	figentræ	—	settled	standard
ἀμπελουργός	G289	vinedresser	vingårdsmand	gartner	gartner	—	settled	standard
ἀμπελών	G290	vineyard	vingård	vingård	vingård	—	settled	standard
κόκκος σινάπεως	G2848+G4615	mustard seed	sennepskorn	sennepskorn	sennepsfrø	—	settled	standard
κλαυθμὸς καὶ βρυγμὸς	G2805+G1030	weeping and gnashing	gråd og tænderskæren	gråd og tænderskæren	græde og skære tænder	—	settled	standard
στενὴ θύρα	G4728+G2374	narrow door	den snævre dør	den snævre dør	den smalle dør	0066	settled	standard
οἰκοδεσπότης	G3617	householder, master of the house	husherre	husets herre	husets ejer	—	settled	standard
ἀδικία	G93	unrighteousness, wrong	uret	uret	det onde	—	settled	standard
μισέω (semit. komp.)	G3404	hate; love less	hade	hade	elske så meget højere	0068	settled	standard
πρωτοκλισία	G4411	place of honour at table	øverste plads	bedste plads	fineste plads	—	settled	standard
ὑδρωπικός	G5203	suffering from dropsy	vattersot	vand i kroppen	væske i kroppen	—	settled	standard
δεῖπνον	G1173	dinner, banquet	aftensmåltid	fest	fest	—	settled	standard
ἀνάπειρος	G376	crippled	vanfør	handicappet	handicappet	—	settled	standard
ἅλας	G217	salt	salt	salt	salt	—	settled	standard
ἀπαρτισμός	G535	completion	fuldførelse	at gøre det færdigt	at gøre det færdigt	—	settled	standard
δραχμή	G1406	drachma (a day's wage)	drakme	sølvmønt	sølvmønt	0069	settled	standard
μόσχος σιτευτός	G3448+G4618	fattened calf	fedekalven	fedekalven	fedekalven	—	settled	standard
ἀσώτως	G811	prodigally, recklessly	udsvævende	et vildt liv	leve livet	—	settled	standard
μίσθιος	G3407	hired worker	daglejer	daglejer	daglejer	—	settled	standard
κεράτιον	G2769	carob pod	bønner	bønner	svinefoder	—	settled	standard
πόρνη	G4204	prostitute	skøge	prostitueret	prostitueret	—	settled	standard
ἔριφος	G2056	young goat	kid	gedekid	gedekid	—	settled	standard
μαμωνᾶς	G3126	mammon (Aramaic: wealth)	mammon	penge / Mammon	penge	0070	settled	standard
βάτος	G943	bath (liquid, ~30 l)	fad	fad	liter (omregnet)	0071	settled	standard
κόρος	G2884	kor (dry, ~300 l)	tønde	tønde	ton (omregnet)	0071	settled	standard
οἰκονομία	G3622	stewardship	husholdning	forvaltning	arbejde som forvalter	—	settled	standard
βιάζομαι	G971	press in; use force	trænge ind med magt	presse på	presse på	0072	settled	standard
φιλάργυρος	G5366	money-loving	pengekær	elske penge	elske penge	—	settled	standard
βδέλυγμα	G946	abomination	vederstyggelighed	afskyeligt	væmmes ved	—	settled	standard
κόλπος Ἀβραάμ	G2859	Abraham's bosom	Abrahams skød	Abrahams side	hos Abraham	—	settled	standard
χάσμα	G5490	chasm	svælg	kløft	kløft	—	settled	standard
κεραία	G2762	stroke of a letter	tøddel	tøddel	tøddel	—	settled	standard
μοιχεύω	G3431	commit adultery	bedrive hor	begå ægteskabsbrud	være utro	—	settled	standard
σκάνδαλον	G4625	stumbling block, offence	forargelse	det, som får til fald	det, som får til at snuble	—	settled	standard
λίθος μυλικός	G3037+G3457	millstone	møllesten	møllesten	møllesten	—	settled	standard
συκάμινος	G4807	mulberry tree	morbærtræ	morbærtræ	morbærtræ	—	settled	standard
ἀχρεῖος	G888	unworthy, unprofitable	unyttig	uden krav på noget	almindelig	—	settled	standard
ἀλλογενής	G241	foreigner	fremmed	fremmed	udlænding	—	settled	standard
ἐντὸς ὑμῶν	G1787	within / among you	midt iblandt jer	midt iblandt jer	midt iblandt jer	0074	settled	standard
κιβωτός	G2787	ark	arken	arken	arken	—	settled	standard
κατακλυσμός	G2627	flood	syndflod	oversvømmelse	stor oversvømmelse	—	settled	standard
ἀετός	G105	eagle; vulture	grib	grib	grib	—	settled	standard
ἱλάσκομαι	G2433	be propitiated, be merciful	vær mig nådig	vær mig nådig	vær nådig mod mig	0075	settled	standard
ἐκδικέω	G1556	vindicate, grant justice	skaffe ret	skaffe ret	sørge for at få sin ret	—	settled	standard
χήρα	G5503	widow	enke	enke	enke	—	settled	standard
τρῆμα βελόνης	G5168+G955	eye of a needle	nåleøje	nåleøje	nåleøje	—	settled	standard
κάμηλος	G2574	camel	kamel	kamel	kamel	—	settled	standard
βρέφος	G1025	infant	lille barn	spædbarn	helt lille barn	—	settled	standard
ἄρχων	G758	ruler, official	rådsherre	rådsherre	jødisk leder	—	settled	standard
Ναζωραῖος	G3480	of Nazareth	fra Nazaret	fra Nazaret	fra Nazaret	—	settled	standard
υἱὲ Δαυίδ	G5207+G1138	Son of David	Davids søn	Davids søn	Davids søn	—	settled	standard
μνᾶ	G3414	mina (~100 days' wages)	pund	pund	pund (tre måneders løn)	0077	settled	standard
ἀρχιτελώνης	G754	chief tax collector	overtolder	overtolder	chef for skatteopkræverne	—	settled	standard
συκομορέα	G4809	sycamore-fig	morbærfigentræ	morbærfigentræ	morbærfigentræ	—	settled	standard
πῶλος	G4454	colt	føl	æselføl	æselføl	—	settled	standard
σπήλαιον λῃστῶν	G4693+G3027	den of robbers	røverkule	røverkule	røverhule	—	settled	standard
ἐπισκοπή	G1984	visitation	besøgelsestid	da Gud kom til dig	at Gud selv kom til dig	—	settled	standard
σουδάριον	G4676	cloth, napkin	tørklæde	tørklæde	klæde	—	settled	standard
τόκος	G5110	interest	rente	renter	renter	—	settled	standard
κεφαλὴ γωνίας	G2776+G1137	cornerstone	hovedhjørnesten	hovedhjørnesten	den vigtigste sten	—	settled	standard
γεωργός	G1092	tenant farmer	vinbonde	vinbonde	forpagter	—	settled	standard
Σαδδουκαῖος	G4523	Sadducee	saddukæer	saddukæer	saddukæer	—	settled	standard
ἀνάστασις	G386	resurrection	opstandelse	opstandelse	stå op fra de døde	—	settled	standard
ἡγεμών	G2232	governor	statholder	statholder	romersk guvernør	—	settled	standard
φόρος	G5411	tribute, tax	skat	skat	skat	—	settled	standard
ὑποπόδιον	G5286	footstool	skammel	skammel	skammel	—	settled	standard
κληρονόμος	G2818	heir	arving	arving	arving	—	settled	standard
γαζοφυλάκιον	G1049	temple treasury	tempelblok	tempelblok	tempelblok	—	settled	standard
ὑπομονή	G5281	endurance	udholdenhed	holde ud	holde ud	—	settled	standard
ἐρήμωσις	G2050	desolation	ødelæggelse	ødelæggelse	lagt øde	—	settled	standard
κραιπάλη	G2897	drunken headache	svir	tømmermænd	tømmermænd	—	settled	standard
παγίς	G3803	snare, trap	snare	fælde	fælde	—	settled	standard
ἀγρυπνέω	G69	keep awake, watch	våge	være vågen	holde sig vågen	—	settled	standard
τὰ ἄζυμα	G106	Feast of Unleavened Bread	de usyrede brøds fest	de usyrede brøds fest	de usyrede brøds fest	—	settled	standard
πάσχα	G3957	Passover; Passover lamb	påske / påskelam	påske / påskelam	påske / påskelam	—	settled	standard
διαθήκη	G1242	covenant	pagt	pagt	pagt	0080	settled	standard
ἀνάμνησις	G364	remembrance	ihukommelse	minde	huske på	—	settled	standard
ἀγωνία	G74	agony, anguish	dødsangst	dødsangst	dyb angst	—	settled	standard
συνέδριον	G4892	Sanhedrin, council	råd	Det Høje Råd	Det Høje Råd	—	settled	standard
ἀλέκτωρ	G220	rooster	hane	hane	hane	—	settled	standard
σινιάζω	G4617	sift	sigte	sigte	sigte som korn i en si	—	settled	standard
Κρανίον	G2898	Skull (place)	Hovedskalstedet	Hovedskalstedet	Hovedskalstedet	—	settled	standard
παράδεισος	G3857	paradise	Paradis	Paradis	Paradis	—	settled	standard
καταπέτασμα	G2665	temple curtain	forhænget	forhænget	forhænget	—	settled	standard
ἑκατοντάρχης	G1543	centurion	høvedsmand	romersk officer	romersk officer	—	settled	standard
κακοῦργος	G2557	criminal	forbryder	forbryder	forbryder	—	settled	standard
βουλευτής	G1010	council member	rådsherre	medlem af Rådet	medlem af Det Høje Råd	—	settled	standard
παρασκευή	G3904	day of Preparation	forberedelsesdagen	forberedelsesdagen	fredag, dagen før sabbatten	—	settled	standard
σινδών	G4616	linen cloth	linklæde	lagen	lagen	—	settled	standard
σταυρόω	G4717	crucify	korsfæste	korsfæste	korsfæste	—	settled	standard
ὀθόνια	G3608	linen cloths	linnedklæder	linnedklæder	ligklæder	—	settled	standard
στάδιον	G4712	stadion (~185 m)	stadie	kilometer (omregnet)	kilometer (omregnet)	0065	settled	standard
κλάσις τοῦ ἄρτου	G2800+G740	breaking of bread	brødets brydelse	da han brød brødet	da han brækkede brødet	—	settled	standard
λυτρόομαι	G3084	redeem, set free	forløse	befri	sætte fri	—	settled	standard
ἐπαγγελία	G1860	promise	forjættelse	løftet / det, Gud har lovet	det, Gud har lovet	—	settled	standard
εὐθύς (adv.)	G2117	immediately	straks (konkordant i Mark)	straks	med det samme	0084	settled	konkordant:esv@MRK
ἀκρίδες	G200	locusts	græshopper	græshopper	græshopper	—	settled	standard
μέλι ἄγριον	G3192+G66	wild honey	vild honning	vild honning	vildhonning	—	settled	standard
ζώνη δερματίνη	G2223+G1193	leather belt	læderbælte	læderbælte	læderbælte	—	settled	standard
ἁλιεὺς ἀνθρώπων	G231+G444	fisher of men	menneskefisker	menneskefisker	fiske mennesker	—	settled	standard
δίκτυον	G1350	fishing net	garn	garn	garn	—	settled	standard
ἐμβριμάομαι	G1690	warn sternly	tale strengt til	advare indtrængende	sige meget bestemt	—	settled	standard
θηρίον	G2342	wild animal	vildt dyr	vildt dyr	vildt dyr	—	settled	standard
κράβαττος	G2895	mat, stretcher	båre	båre	båre	—	settled	standard
ῥάκος ἄγναφον	G4470+G46	unshrunk cloth	uvalket klæde	ukrympet stof	stof, der ikke er krympet	—	settled	standard
ἄρτοι τῆς προθέσεως	G740+G4286	bread of the Presence	skuebrød	skuebrød	de hellige brød	—	settled	standard
δρέπανον	G1407	sickle	segl	segl	høst	—	settled	standard
προσκεφάλαιον	G4344	cushion	hovedpude	hovedpude	pude	—	settled	standard
πρύμνα	G4403	stern	agterstavn	agter	bagerst i båden	—	settled	standard
φιμόω	G5392	muzzle, silence	ti stille / vær tavs	ti stille	ti stille	0089	settled	konkordant:esv
αὐτομάτη	G844	of itself	af sig selv	helt af sig selv	helt af sig selv	—	settled	standard
ταλιθα κουμ	G5008	talitha koum (Aramaic)	Talitha kumi	Talitha kumi	Talitha kumi	0090	settled	konkordant
κοράσιον	G2877	little girl	lille pige	lille pige	lille pige	—	settled	standard
πέδαι	G3976	shackles, fetters	fodjern	fodjern	fodjern	—	settled	standard
ἅλυσις	G254	chain	lænke	lænke	lænke	—	settled	standard
μάστιξ	G3148	affliction, scourge	lidelse	lidelse	sygdom	—	settled	standard
τέκτων	G5045	carpenter, builder	tømrer	tømrer	tømrer	—	settled	standard
σπεκουλάτωρ	G4688	executioner	bøddel	bøddel	bøddel	—	settled	standard
πίναξ	G4094	platter	fad	fad	fad	—	settled	standard
φάντασμα	G5326	ghost, apparition	spøgelse	spøgelse	spøgelse	—	settled	standard
πωρόω	G4456	harden	forhærde	forhærde	lukke til	—	settled	standard
χιλίαρχος	G5506	officer, commander	officer	officer	officer	—	settled	standard
κορβᾶν	G2878	corban (offering to God)	korban	korban	korban	0092	settled	konkordant
εφφαθα	G2188	ephphatha (Aramaic)	Effata	Effata	Effata	0090	settled	konkordant
κοινόω	G2840	make unclean	gøre uren	gøre uren	gøre uren	—	settled	standard
παράδοσις	G3862	tradition	overlevering	overlevering	tradition	—	settled	standard
κυνάριον	G2952	little dog, house dog	lille hund	hvalp	hundehvalp	—	settled	standard
ψιχίον	G5589	crumb	smule	smule	smule	—	settled	standard
μογιλάλος	G3424	speaking with difficulty	som næsten ikke kunne tale	som næsten ikke kunne tale	som næsten ikke kunne tale	—	settled	standard
σπυρίς	G4711	large basket	stor kurv	stor kurv	stor kurv	0093	settled	konkordant
ἀντάλλαγμα	G465	something given in exchange	vederlag	betaling	betaling	—	settled	standard
μοιχαλίς	G3428	adulterous, unfaithful	utro	troløs	troløs	—	settled	standard
παρρησία	G3954	openly, plainly	åbent	helt åbent	helt lige ud	—	settled	standard
μύλος ὀνικός	G3458+G3684	donkey-turned millstone	møllesten	møllesten	møllesten	—	settled	standard
γναφεύς	G1102	fuller, cloth-bleacher	blegemand	—	—	—	settled	standard
σκώληξ	G4663	worm	orm	orm	orm	—	settled	standard
ῥαββί	G4461	rabbi	Rabbi	Rabbi	Rabbi	—	settled	standard
μεταμορφόομαι	G3339	be transfigured	forvandles	forvandles	forvandles	—	settled	standard
λύτρον	G3083	ransom	løsesum	løsesum	betaling for at sætte fri	0095	settled	standard
ῥαββουνι	G4462	rabbouni (Aramaic)	Rabbuni	Rabbuni	Rabbuni	0096	settled	konkordant
βιβλίον ἀποστασίου	G975+G647	certificate of divorce	skilsmissebrev	skilsmissebrev	skilsmissebrev	—	settled	standard
σκληροκαρδία	G4641	hardness of heart	hårde hjerter	hårde hjerter	hårde hjerter	—	settled	standard
τρυμαλιὰ ῥαφίδος	G5168+G4476	eye of a needle	nåleøje	nåleøje	nåleøje	—	settled	standard
ὡσαννά	G5614	hosanna	Hosanna	Hosanna	Hosanna	0098	settled	konkordant
κολλυβιστής	G2855	money-changer	veksler	veksler	veksler	—	settled	standard
στιβάς	G4746	leafy branch	løvgren	grøn gren	grøn gren	—	settled	standard
παράπτωμα	G3900	trespass	overtrædelse	det, I har gjort forkert	det, I har gjort forkert	—	settled	standard
κοδράντης	G2835	quadrans (Roman coin)	kvadrant	kvadrant	romersk småmønt	0062	settled	standard
ὑπολήνιον	G5276	winepress trough	perse	perse	perse	—	settled	standard
ὁλοκαύτωμα	G3646	burnt offering	brændoffer	brændoffer	offer	—	settled	standard
Σημά	—	Shema (Deut 6:4-5)	Hør, Israel	Hør, Israel	Hør, Israel	0058	settled	standard
θυσία	G2378	sacrifice	offer (slagtoffer i GT-citat)	offer	offer / slagtoffer	0101	settled	standard
προσφορά	G4376	offering	offergave	offergave	offer / gave	0101	settled	konkordant:esv,niv@HEB
περὶ ἁμαρτίας	G4012+G266	sin offering (LXX-formel)	syndoffer	syndoffer	offer for synd	0101	settled	standard
τελειόω	G5048	make perfect, complete	gøre fuldkommen	gøre fuldkommen	gøre fuldkommen	0101	settled	konkordant@HEB
ἁγιάζω	G37	sanctify, make holy	hellige	gøre hellig	gøre hellig	0101	settled	konkordant@HEB
εἰς τὸ διηνεκές	G1336	continually; for all time	uden ophør / for bestandig	igen og igen / for altid	uden ophør / for altid	0102	settled	standard
ἐφάπαξ	G2178	once for all	én gang for alle	én gang for alle	én gang for alle	0101	settled	standard
προσέρχομαι	G4334	draw near, approach	træde frem	træde frem for Gud	gå ind til Gud	0104	settled	konkordant@HEB
παρρησία (frimodighed)	G3954	confidence, boldness	frimodighed	frimodighed	frimodig tillid	0104	settled	standard
τὰ ἅγια	G39	the sanctuary	helligdommen	helligdommen	Det Allerhelligste	0109	settled	standard
ἱερεὺς μέγας	G2409+G3173	great priest	en stor præst	en stor præst	en stor præst	0109	settled	standard
σῶμα	G4983	body	legeme	legeme	krop	0109	settled	standard
σάρξ	G4561	flesh	kød	kød	krop (jf. 0109)	0109	settled	standard
συνείδησις	G4893	conscience; awareness	samvittighed / bevidsthed	samvittighed / bevidsthed	samvittighed / bevidsthed	0101	settled	standard
ἀνάμνησις (påmindelse)	G364	reminder	påmindelse	påmindelse	minde om	0101	settled	standard
ὁμολογία	G3671	confession	bekendelse	det, vi bekender	det, vi bekender os til	—	settled	standard
ἐπισυναγωγή	G1997	assembling together	sammenkomst	sammenkomst	når vi mødes	—	settled	standard
